track_name,release_year,year_distribution
willow,2020,"{2014: 0.015196078431372549, 2015: 0.03284313725490196, 2016: 0.012254901960784314, 2017: 0.0, 2018: 0.0, 2019: 0.0004901960784313725, 2020: 0.016666666666666666, 2021: 0.4161764705882353, 2022: 0.26519607843137255, 2023: 0.2411764705882353}"
Without Me,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.010169491525423728, 2019: 0.523728813559322, 2020: 0.1923728813559322, 2021: 0.11610169491525424, 2022: 0.08728813559322034, 2023: 0.07033898305084746}"
Without You feat Sandro Cavazza,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.018663455749548464, 2017: 0.1456953642384106, 2018: 0.39554485249849486, 2019: 0.19566526189042746, 2020: 0.10415412402167369, 2021: 0.059000602046959665, 2022: 0.052980132450331126, 2023: 0.028296207104154123}"
WITHOUT YOU with Miley Cyrus,2021,"{2014: 0.15423728813559323, 2015: 0.14463276836158193, 2016: 0.11468926553672316, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.001694915254237288, 2021: 0.38022598870056495, 2022: 0.14576271186440679, 2023: 0.05875706214689266}"
Wolves,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.08591408591408592, 2018: 0.5544455544455544, 2019: 0.14585414585414586, 2020: 0.06993006993006994, 2021: 0.06593406593406594, 2022: 0.04295704295704296, 2023: 0.03496503496503497}"
Woman,2021,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.41467889908256883, 2022: 0.4724770642201835, 2023: 0.11284403669724771}"
Wow,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.7061503416856492, 2020: 0.13895216400911162, 2021: 0.07289293849658314, 2022: 0.05011389521640091, 2023: 0.03189066059225513}"
X,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.00506168933881683, 2017: 0.0, 2018: 0.2537171781081936, 2019: 0.3286934514394179, 2020: 0.24485922176526415, 2021: 0.08889591901297057, 2022: 0.07339449541284404, 2023: 0.005378044922492882}"
XO Tour Llif3,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.5798403193612774, 2018: 0.18962075848303392, 2019: 0.0748502994011976, 2020: 0.07085828343313373, 2021: 0.038922155688622756, 2022: 0.02594810379241517, 2023: 0.01996007984031936}"
Yes Indeed,2018,"{2014: 0.03391232423490488, 2015: 0.033085194375516956, 2016: 0.028122415219189414, 2017: 0.0, 2018: 0.369727047146402, 2019: 0.24483043837882548, 2020: 0.12655086848635236, 2021: 0.08850289495450786, 2022: 0.04880066170388751, 2023: 0.026468155500413565}"
Yonaguni,2021,"{2014: 0.029336734693877552, 2015: 0.030612244897959183, 2016: 0.025510204081632654, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.4719387755102041, 2022: 0.33163265306122447, 2023: 0.11096938775510204}"
You Make It Easy,2018,"{2014: 0.01330603889457523, 2015: 0.011258955987717503, 2016: 0.009211873080859774, 2017: 0.0, 2018: 0.5209825997952917, 2019: 0.18935516888433981, 2020: 0.11770726714431934, 2021: 0.0593654042988741, 2022: 0.04605936540429888, 2023: 0.032753326509723645}"
You Need To Calm Down,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.5628058727569332, 2020: 0.19412724306688417, 2021: 0.07177814029363784, 2022: 0.06199021207177814, 2023: 0.10929853181076672}"
You Right,2021,"{2014: 0.005545286506469501, 2015: 0.006469500924214418, 2016: 0.0036968576709796672, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.45286506469500926, 2022: 0.38909426987060997, 2023: 0.1423290203327172}"
Young Dumb  Broke,2017,"{2014: 0.004914004914004914, 2015: 0.0036855036855036856, 2016: 0.002457002457002457, 2017: 0.0, 2018: 0.3464373464373464, 2019: 0.2905405405405405, 2020: 0.1468058968058968, 2021: 0.07493857493857493, 2022: 0.07493857493857493, 2023: 0.05528255528255528}"
Youngblood,2018,"{2014: 0.05741127348643006, 2015: 0.05271398747390397, 2016: 0.029227557411273485, 2017: 0.0, 2018: 0.34603340292275575, 2019: 0.22129436325678498, 2020: 0.11325678496868476, 2021: 0.07828810020876827, 2022: 0.060542797494780795, 2023: 0.04123173277661795}"
Your Power,2021,"{2014: 0.06586270871985157, 2015: 0.0640074211502783, 2016: 0.05658627087198516, 2017: 0.0, 2018: 0.0, 2019: 0.0009276437847866419, 2020: 0.0, 2021: 0.4322820037105751, 2022: 0.24489795918367346, 2023: 0.13543599257884972}"
Yummy,2020,"{2014: 0.0657439446366782, 2015: 0.06228373702422145, 2016: 0.05190311418685121, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.610726643598616, 2021: 0.10207612456747404, 2022: 0.07958477508650519, 2023: 0.02768166089965398}"
ZEZE feat Travis Scott  Offset,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.31718061674008813, 2019: 0.5837004405286343, 2020: 0.05726872246696035, 2021: 0.0, 2022: 0.04185022026431718, 2023: 0.0}"
